country_code_alpha3,language_code,world_region,country_region_name,capital_name,remarks
ABW,eng,south_america,Aruba,Oranjestad,
AFG,eng,asia,Afghanistan,Kabul,
AGO,eng,africa,Angola,Luanda,
AIA,eng,north_america,Anguilla,The Valley,
ALA,eng,europe,Åland Islands,Mariehamn,
ALB,eng,europe,Albania,Tirana,
AND,eng,europe,Andorra,Andorra la Vella,
ARE,eng,asia,United Arab Emirates,Abu Dhabi,
ARG,eng,south_america,Argentina,Buenos Aires,
ARM,eng,asia,Armenia,Yerevan,
ASM,eng,oceania,American Samoa,Pago Pago,
ATF,eng,africa,French Southern Territories,Port-aux-Français,
ATG,eng,north_america,Antigua and Barbuda,St. John's,
AUS,eng,oceania,Australia,Canberra,
AUT,eng,europe,Austria,Vienna,
AZE,eng,asia,Azerbaijan,Baku,
BDI,eng,africa,Burundi,Bujumbura,
BEL,eng,europe,Belgium,Brussels,
BEN,eng,africa,Benin,Porto-Novo,
BES,eng,north_america,"Bonaire, Sint Eustatius and Saba",Kralendijk,
BFA,eng,africa,Burkina Faso,Ouagadougou,
BGD,eng,asia,Bangladesh,Dhaka,
BGR,eng,europe,Bulgaria,Sofia,
BHR,eng,asia,Bahrain,Manama,
BHS,eng,north_america,Bahamas,Nassau,
BIH,eng,europe,Bosnia and Herzegovina,Sarajevo,
BLM,eng,north_america,Saint Barthélemy,Gustavia,
BLR,eng,europe,Belarus,Minsk,
BLZ,eng,north_america,Belize,Belmopan,
BMU,eng,north_america,Bermuda,Hamilton,
BOL,eng,south_america,Bolivia (Plurinational State of),La Paz,
BRA,eng,south_america,Brazil,Brasília,
BRB,eng,north_america,Barbados,Bridgetown,
BRN,eng,asia,Brunei Darussalam,Bandar Seri Begawan,
BTN,eng,asia,Bhutan,Thimphu,
BVT,eng,africa,Bouvet Island,,
BWA,eng,africa,Botswana,Gaborone,
CAF,eng,africa,Central african Republic,Bangui,
CAN,eng,north_america,Canada,Ottawa,
CCK,eng,oceania,Cocos (Keeling) Islands,West Island,
CHE,eng,europe,Switzerland,Bern,
CHL,eng,south_america,Chile,Santiago,
CHN,eng,asia,China,Beijing,
CIV,eng,africa,Côte d'Ivoire,Yamoussoukro,
CMR,eng,africa,Cameroon,Yaoundé,
COD,eng,africa,"Congo, Democratic Republic of the",Kinshasa,
COG,eng,africa,Congo,Brazzaville,
COK,eng,oceania,Cook Islands,Avarua,
COL,eng,south_america,Colombia,Bogotá,
COM,eng,africa,Comoros,Moroni,
CPV,eng,africa,Cabo Verde,Praia,
CRI,eng,north_america,Costa Rica,San José,
CUB,eng,north_america,Cuba,Havana,
