selection_item_type,selection_item_code,language_code,selection_item_name,selection_item_short_name,display_order,remarks
billing_cycle,monthly,eng,Monthly (Every 1 month),Monthly,1,
billing_cycle,monthly,jpn,1ヶ月ごと,1ヶ月ごと,1,
billing_cycle,quarterly,eng,Quarterly (Every 3 months),Quarterly,2,
billing_cycle,quarterly,jpn,3ヶ月ごと,3ヶ月ごと,2,
billing_cycle,semi_annually,eng,Semi-Annually (Every 6 months),Semi-Annually,3,
billing_cycle,semi_annually,jpn,6ヶ月ごと,6ヶ月ごと,3,
billing_cycle,annually,eng,Annually (Every 12 months),Annually,4,
billing_cycle,annually,jpn,12ヶ月ごと,12ヶ月ごと,4,
company_type,public,eng,Public Company,Public,1,
company_type,public,jpn,上場,上場,1,
company_type,private,eng,Private Company,Private,2,
company_type,private,jpn,非上場,非上場,2,
contract_language_code,eng,eng,English,English,1,
contract_language_code,eng,jpn,English,English,1,
contract_language_code,jpn,eng,日本語,日本語,2,
contract_language_code,jpn,jpn,日本語,日本語,2,
contract_language_code,cmn,eng,中文（简体）,中国語（簡体字）,3,
contract_language_code,cmn,jpn,中文（简体）,中国語（簡体字）,3,
contract_language_code,yue,eng,中国語（繁体字）,中国語（繁体字）,4,
contract_language_code,yue,jpn,中国語（繁体字）,中国語（繁体字）,4,
customer_status,customer_registered,eng,Customer Registration Completed,Customer Registered,1,
customer_status,customer_registered,jpn,顧客基本情報登録完了,顧客登録完了,1,
customer_status,dd_started,eng,Due Diligence Started,DD Started,2,
customer_status,dd_started,jpn,デューデリジェンス処理開始,顧客審査開始,2,
customer_status,dd_completed,eng,Due Diligence Completed,DD Completed,3,
customer_status,dd_completed,jpn,デューデリジェンス処理完了,顧客審査完了,3,
customer_status,contract_proc_started,eng,Service Contract Process Started,Contract Proc Started,4,
customer_status,contract_proc_started,jpn,サービス契約手続開始,契約手続開始,4,
customer_status,contract_proc_completed,eng,Service Contract Process Completed,Contract Proc Completed,5,
customer_status,contract_proc_completed,jpn,サービス契約手続完了,契約手続完了,5,
customer_status,active,eng,Active,Active,6,
customer_status,active,jpn,利用中,利用中,6,
customer_status,all_paused,eng,All Services Paused by Client,All Paused,7,
customer_status,all_paused,jpn,全サービス利用停止中,利用停止中,7,
customer_status,all_suspended,eng,All Services Suspended Due to Issue,All Suspended,8,Display in red
customer_status,all_suspended,jpn,全サービス利用停止中（疑義あり）,利用停止中（疑義あり）,8,赤字表示
customer_status,all_closed,eng,All Services Closed by Client,All Closed,9,
customer_status,all_closed,jpn,全サービス利用終了,利用終了,9,
customer_status,all_terminated,eng,All Services Terminated Due to Issue,All Terminated,10,Display in red
customer_status,all_terminated,jpn,全サービス利用終了（疑義あり）,利用終了（疑義あり）,10,赤字表示
dd_entity_type,company,eng,Company,Company,1,
dd_entity_type,company,jpn,法人,法人,1,
dd_entity_type,individual,eng,Individual,Individual,2,
dd_entity_type,individual,jpn,個人,個人,2,
dd_relation,counterparty_entity,eng,Counterparty Entity,Counterparty Entity,1,
dd_relation,counterparty_entity,jpn,取引対象法人,取引対象法人,1,
dd_relation,ultimate_beneficial_owner,eng,Ultimate Beneficial Owner,Ultimate Beneficial Owner,2,
dd_relation,ultimate_beneficial_owner,jpn,実質的支配者,実質的支配者,2,
dd_relation,executive,eng,Executive,Executive,3,
dd_relation,executive,jpn,役員,役員,3,
dd_relation,direct_shareholder,eng,Direct Shareholder,Direct Shareholder,4,
dd_relation,direct_shareholder,jpn,直接株主,直接株主,4,
dd_relation,indirect_shareholder,eng,Indirect Shareholder,Indirect Shareholder,5,
dd_relation,indirect_shareholder,jpn,間接株主,間接株主,5,
dd_relation,investee,eng,Direct Investee,Direct Investee,6,
dd_relation,investee,jpn,直接出資先,直接出資先,6,
dd_relation,indirect_investee,eng,Indirect Investee,Indirect Investee,7,
dd_relation,indirect_investee,jpn,間接出資先,間接出資先,7,
dd_relation,executive_of_direct_shareholder,eng,Executive of Direct Shareholder,Executive of Direct Shareholder,8,
dd_relation,executive_of_direct_shareholder,jpn,直接株主の役員,直接株主の役員,8,
dd_relation,executive_of_indirect_shareholder,eng,Executive of Indirect Shareholder,Executive of Indirect Shareholder,9,
dd_relation,executive_of_indirect_shareholder,jpn,間接株主の役員,間接株主の役員,9,
dd_relation,executive_of_investee,eng,Executive of Direct Investee,Executive of Direct Investee,10,
dd_relation,executive_of_investee,jpn,直接出資先の役員,直接出資先の役員,10,
dd_relation,executive_of_indirect_investee,eng,Executive of Indirect Investee,Executive of Indirect Investee,11,
dd_relation,executive_of_indirect_investee,jpn,間接出資先の役員,間接出資先の役員,11,
dd_result_code,ok,eng,OK,OK,1,
dd_result_code,ok,jpn,OK,OK,1,
dd_result_code,ng,eng,NG,NG,2,
dd_result_code,ng,jpn,NG,NG,2,
dd_result_code,high_risk,eng,HIGH,HIGH,3,
dd_result_code,high_risk,jpn,高リスク,高,3,
dd_result_code,low_risk,eng,LOW,LOW,4,
dd_result_code,low_risk,jpn,低リスク,低,4,
dd_result_code,add,eng,Add,Add,5,
dd_result_code,add,jpn,追加,追加,5,
dd_result_code,modify,eng,Modify,Modify,6,
dd_result_code,modify,jpn,変更,変更,6,
dd_result_code,delete,eng,Delete,Delete,7,
dd_result_code,delete,jpn,削除,削除,7,
dd_result_code,suspicious,eng,Suspicious,Suspicious,8,
dd_result_code,suspicious,jpn,疑義あり,疑義あり,8,
dd_result_code,no_problem,eng,No Problem,No Problem,9,
dd_result_code,no_problem,jpn,問題なし,問題なし,9,
dd_result_feedback,misidentification,eng,Misidentification of corporate/personal name,Misidentification of corporate/personal name,1,
dd_result_feedback,misidentification,jpn,法人名称・個人名称誤認識,法人名称・個人名称誤認識,1,
dd_result_type,stakeholder_acquisition,eng,Shareholder & Officer Information Acquisition,Stakeholder Acquisition,1,
dd_result_type,stakeholder_acquisition,jpn,株主・役員情報取得,株主・役員情報取得,1,
dd_result_type,industry_check_reg,eng,Industry / Business-type Screening (reg),Industry Screening (reg),2,
dd_result_type,industry_check_reg,jpn,業種業態チェック（登記簿）,業種業態チェック（登記簿）,2,
dd_result_type,industry_check_web,eng,Industry / Business-type Screening (web),Industry Screening (web),3,
dd_result_type,industry_check_web,jpn,業種業態チェック（Web）,業種業態チェック（Web）,3,
dd_result_type,customer_risk_level,eng,Customer Risk-Level Screening,Risk Screening,4,
dd_result_type,customer_risk_level,jpn,顧客リスクレベル判定,顧客リスクレベル判定,4,
