country_code_alpha3,language_code,world_region,country_region_name,capital_name,remarks
GBR,eng,europe,United Kingdom of Great Britain and Northern Ireland,London,
GRD,eng,north_america,Grenada,St. George's,
HRV,eng,europe,Croatia,Zagreb,
CYM,eng,north_america,Cayman Islands,George Town,
KEN,eng,africa,Kenya,Nairobi,
CIV,eng,africa,Côte d'Ivoire,Yamoussoukro,
CCK,eng,oceania,Cocos (Keeling) Islands,West Island,
CRI,eng,north_america,Costa Rica,San José,
COM,eng,africa,Comoros,Moroni,
AFG,eng,asia,Afghanistan,Kabul,
GUY,eng,south_america,Guyana,Georgetown,
JPN,eng,oceania,Japan,Tokyo,
ISL,eng,europe,Iceland,Reykjavík,
IRL,eng,europe,Ireland,Dublin,
AZE,eng,asia,Azerbaijan,Baku,
USA,eng,north_america,United States of America,"Washington, D.C.",
ARE,eng,asia,United Arab Emirates,Abu Dhabi,
DZA,eng,africa,Algeria,Algiers,
ARG,eng,south_america,Argentina,Buenos Aires,
ABW,eng,south_america,Aruba,Oranjestad,
ALB,eng,europe,Albania,Tirana,
GNB,eng,africa,Guinea-Bissau,Bissau,
GIN,eng,africa,Guinea,Conakry,
CYP,eng,asia,Cyprus,Nicosia,
CUB,eng,north_america,Cuba,Havana,
GRC,eng,europe,Greece,Athens,
KIR,eng,oceania,Kiribati,South Tarawa,
KGZ,eng,asia,Kyrgyzstan,Bishkek,
COL,eng,south_america,Colombia,Bogotá,
COD,eng,africa,"Congo, Democratic Republic of the",Kinshasa,
COG,eng,africa,Congo,Brazzaville,
SAU,eng,asia,Saudi Arabia,Riyadh,
KAZ,eng,asia,Kazakhstan,Astana,
QAT,eng,asia,Qatar,Doha,
CAN,eng,north_america,Canada,Ottawa,
GAB,eng,africa,Gabon,Libreville,
CMR,eng,africa,Cameroon,Yaoundé,
GMB,eng,africa,Gambia,Banjul,
KHM,eng,asia,Cambodia,Phnom Penh,
MKD,eng,europe,North Macedonia,Skopje,
KWT,eng,asia,Kuwait,Kuwait City,
ARM,eng,asia,Armenia,Yerevan,
AIA,eng,north_america,Anguilla,The Valley,
GTM,eng,north_america,Guatemala,Guatemala City,
GLP,eng,north_america,Guadeloupe,Basse-Terre,
GUM,eng,oceania,Guam,Hagåtña,
COK,eng,oceania,Cook Islands,Avarua,
GRL,eng,north_america,Greenland,Nuuk,
CXR,eng,oceania,Christmas Island,Flying Fish Cove,
YEM,eng,asia,Yemen,Sana'a,
AGO,eng,africa,Angola,Luanda,
ATG,eng,north_america,Antigua and Barbuda,St. John's,
AND,eng,europe,Andorra,Andorra la Vella,
ISR,eng,asia,Israel,Jerusalem,
ITA,eng,europe,Italy,Rome,
IRQ,eng,asia,Iraq,Baghdad,
IRN,eng,asia,Iran (Islamic Republic of),Tehran,
IND,eng,asia,India,New Delhi,
IDN,eng,asia,Indonesia,Jakarta,
UGA,eng,africa,Uganda,Kampala,
UKR,eng,europe,Ukraine,Kyiv,
EGY,eng,africa,Egypt,Cairo,
UZB,eng,asia,Uzbekistan,Tashkent,
URY,eng,south_america,Uruguay,Montevideo,
ECU,eng,south_america,Ecuador,Quito,
EST,eng,europe,Estonia,Tallinn,
SWZ,eng,africa,Eswatini,Mbabane,
ETH,eng,africa,Ethiopia,Addis Ababa,
ERI,eng,africa,Eritrea,Asmara,
SLV,eng,north_america,El Salvador,San Salvador,
AUS,eng,oceania,Australia,Canberra,
AUT,eng,europe,Austria,Vienna,
OMN,eng,asia,Oman,Muscat,
CPV,eng,africa,Cabo Verde,Praia,
NLD,eng,europe,Netherlands,Amsterdam,
BES,eng,north_america,"Bonaire, Sint Eustatius and Saba",Kralendijk,
GHA,eng,africa,Ghana,Accra,
MAF,eng,north_america,Saint Martin (French part),Marigot,
SXM,eng,north_america,Sint Maarten (Dutch part),Philipsburg,
JEY,eng,europe,Jersey,Saint Helier,
IMN,eng,europe,Isle of Man,Douglas,
ALA,eng,europe,Åland Islands,Mariehamn,
GGY,eng,europe,Guernsey,St. Peter Port,
CUW,eng,north_america,Curaçao,Willemstad,
PSE,eng,asia,"Palestine, State of",Ramallah (de facto),
BLM,eng,north_america,Saint Barthélemy,Gustavia,
SLB,eng,oceania,Solomon Islands,Honiara,
TCA,eng,north_america,Turks and Caicos Islands,Cockburn Town,
THA,eng,asia,Thailand,Bangkok,
TJK,eng,asia,Tajikistan,Dushanbe,
TZA,eng,africa,"Tanzania, United Republic of",Dodoma,
TUN,eng,africa,Tunisia,Tunis,
CZE,eng,europe,Czechia,Prague,
TCD,eng,africa,Chad,N'Djamena,
TWN,eng,asia,"Taiwan, Province of China",Taipei,
CHL,eng,south_america,Chile,Santiago,
