country_code_alpha3,country_code_alpha2,country_code_numeric,world_region_type,world_region_code,selectable,display_order,remarks,created_at,updated_at,deleted_at
JPN,JP,392,world_region,asia,true,1,日本国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
USA,US,840,world_region,north_america,true,2,アメリカ合衆国(米国),2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GBR,GB,826,world_region,europe,true,3,グレートブリテン及び北部アイルランド連合王国(英国),2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
CHN,CN,156,world_region,asia,true,4,中華人民共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SGP,SG,702,world_region,asia,true,5,シンガポール共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
THA,TH,764,world_region,asia,true,6,タイ王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
IDN,ID,360,world_region,asia,true,7,インドネシア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ABW,AW,533,world_region,south_america,false,,アルバ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
AFG,AF,4,world_region,asia,false,,アフガニスタン・イスラム国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
AGO,AO,24,world_region,africa,false,,アンゴラ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
AIA,AI,660,world_region,north_america,false,,アンギラ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ALA,AX,248,world_region,europe,false,,オーランド諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ALB,AL,8,world_region,europe,false,,アルバニア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
AND,AD,20,world_region,europe,false,,アンドラ公国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ARE,AE,784,world_region,asia,false,,アラブ首長国連邦,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ARG,AR,32,world_region,south_america,false,,アルゼンチン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ARM,AM,51,world_region,asia,false,,アルメニア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ASM,AS,16,world_region,oceania,false,,米領サモア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ATF,TF,260,world_region,africa,false,,仏領南方・南極地域,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ATG,AG,28,world_region,north_america,false,,アンティグア・バーブーダ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
AUS,AU,36,world_region,oceania,false,,オーストラリア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
AUT,AT,40,world_region,europe,false,,オーストリア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
AZE,AZ,31,world_region,asia,false,,アゼルバイジャン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
BDI,BI,108,world_region,africa,false,,ブルンジ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
BEL,BE,56,world_region,europe,false,,ベルギー王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
BEN,BJ,204,world_region,africa,false,,ベナン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
BES,BQ,535,world_region,north_america,false,,ボネール、シント・ユースタティウスおよびサバ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
BFA,BF,854,world_region,africa,false,,ブルキナファソ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
BGD,BD,50,world_region,asia,false,,バングラデシュ人民共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
BGR,BG,100,world_region,europe,false,,ブルガリア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
BHR,BH,48,world_region,asia,false,,バーレーン国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
