"selection_item_translation_id","selection_item_type","selection_item_code","language_code","selection_item_name","selection_item_short_name","remarks","created_at","updated_at","deleted_at"
205,customer_status,customer_registered,eng,Customer Registration Completed,Customer Registered,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
206,customer_status,dd_started,eng,Due Diligence Started,DD Started,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
207,customer_status,dd_completed,eng,Due Diligence Completed,DD Completed,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
208,customer_status,contract_proc_started,eng,Service Contract Process Started,Contract Proc Started,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
209,customer_status,contract_proc_completed,eng,Service Contract Process Completed,Contract Proc Completed,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
210,customer_status,active,eng,Active,Active,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
211,customer_status,all_paused,eng,All Services Paused by Client,All Paused,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
212,customer_status,all_suspended,eng,All Services Suspended Due to Issue,All Suspended,Display in red,2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
213,customer_status,all_closed,eng,All Services Closed by Client,All Closed,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
214,customer_status,all_terminated,eng,All Services Terminated Due to Issue,All Terminated,Display in red,2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
215,company_type,public,eng,Public Company,Public,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
216,company_type,private,eng,Private Company,Private,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
217,user_status,active,eng,Active,Active,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
218,user_status,all_paused,eng,All Services Paused by Client,All Paused,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
219,user_status,all_suspended,eng,All Services Suspended Due to Issue,All Suspended,Display in red,2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
