country_code_alpha3,language_code,world_region,country_region_name,capital_name,remarks
GBR,eng,Europe,United Kingdom of Great Britain and Northern Ireland,London,
GRD,eng,North America,Grenada,St. George's,
HRV,eng,Europe,Croatia,Zagreb,
CYM,eng,North America,Cayman Islands,George Town,
KEN,eng,Africa,Kenya,Nairobi,
CIV,eng,Africa,Côte d'Ivoire,Yamoussoukro,
CCK,eng,Oceania,Cocos (Keeling) Islands,West Island,
CRI,eng,North America,Costa Rica,San José,
COM,eng,Africa,Comoros,Moroni,
AFG,eng,Asia,Afghanistan,Kabul,
GUY,eng,South America,Guyana,Georgetown,
JPN,eng,日本,Japan,Tokyo,
ISL,eng,Europe,Iceland,Reykjavík,
IRL,eng,Europe,Ireland,Dublin,
AZE,eng,Asia,Azerbaijan,Baku,
USA,eng,North America,United States of America,"Washington, D.C.",
ARE,eng,Asia,United Arab Emirates,Abu Dhabi,
DZA,eng,Africa,Algeria,Algiers,
ARG,eng,South America,Argentina,Buenos Aires,
ABW,eng,South America,Aruba,Oranjestad,
ALB,eng,Europe,Albania,Tirana,
GNB,eng,Africa,Guinea-Bissau,Bissau,
GIN,eng,Africa,Guinea,Conakry,
CYP,eng,Asia,Cyprus,Nicosia,
CUB,eng,North America,Cuba,Havana,
GRC,eng,Europe,Greece,Athens,
KIR,eng,Oceania,Kiribati,South Tarawa,
KGZ,eng,Asia,Kyrgyzstan,Bishkek,
COL,eng,South America,Colombia,Bogotá,
COD,eng,Africa,"Congo, Democratic Republic of the",Kinshasa,
COG,eng,Africa,Congo,Brazzaville,
SAU,eng,Asia,Saudi Arabia,Riyadh,
KAZ,eng,Asia,Kazakhstan,Astana,
QAT,eng,Asia,Qatar,Doha,
CAN,eng,North America,Canada,Ottawa,
GAB,eng,Africa,Gabon,Libreville,
CMR,eng,Africa,Cameroon,Yaoundé,
GMB,eng,Africa,Gambia,Banjul,
KHM,eng,Asia,Cambodia,Phnom Penh,
MKD,eng,Europe,North Macedonia,Skopje,
KWT,eng,Asia,Kuwait,Kuwait City,
ARM,eng,Asia,Armenia,Yerevan,
AIA,eng,North America,Anguilla,The Valley,
GTM,eng,North America,Guatemala,Guatemala City,
GLP,eng,North America,Guadeloupe,Basse-Terre,
GUM,eng,Oceania,Guam,Hagåtña,
COK,eng,Oceania,Cook Islands,Avarua,
GRL,eng,North America,Greenland,Nuuk,
CXR,eng,Oceania,Christmas Island,Flying Fish Cove,
YEM,eng,Asia,Yemen,Sana'a,
AGO,eng,Africa,Angola,Luanda,
ATG,eng,North America,Antigua and Barbuda,St. John's,
AND,eng,Europe,Andorra,Andorra la Vella,
ISR,eng,Asia,Israel,Jerusalem,
ITA,eng,Europe,Italy,Rome,
IRQ,eng,Asia,Iraq,Baghdad,
IRN,eng,Asia,Iran (Islamic Republic of),Tehran,
IND,eng,Asia,India,New Delhi,
IDN,eng,Asia,Indonesia,Jakarta,
UGA,eng,Africa,Uganda,Kampala,
UKR,eng,Europe,Ukraine,Kyiv,
EGY,eng,Africa,Egypt,Cairo,
UZB,eng,Asia,Uzbekistan,Tashkent,
URY,eng,South America,Uruguay,Montevideo,
ECU,eng,South America,Ecuador,Quito,
EST,eng,Europe,Estonia,Tallinn,
SWZ,eng,Africa,Eswatini,Mbabane,
ETH,eng,Africa,Ethiopia,Addis Ababa,
ERI,eng,Africa,Eritrea,Asmara,
SLV,eng,North America,El Salvador,San Salvador,
AUS,eng,Oceania,Australia,Canberra,
AUT,eng,Europe,Austria,Vienna,
OMN,eng,Asia,Oman,Muscat,
CPV,eng,Africa,Cabo Verde,Praia,
NLD,eng,Europe,Netherlands,Amsterdam,
BES,eng,North America,"Bonaire, Sint Eustatius and Saba",Kralendijk,
GHA,eng,Africa,Ghana,Accra,
MAF,eng,North America,Saint Martin (French part),Marigot,
SXM,eng,North America,Sint Maarten (Dutch part),Philipsburg,
JEY,eng,Europe,Jersey,Saint Helier,
IMN,eng,Europe,Isle of Man,Douglas,
ALA,eng,Europe,Åland Islands,Mariehamn,
GGY,eng,Europe,Guernsey,St. Peter Port,
CUW,eng,North America,Curaçao,Willemstad,
PSE,eng,Asia,"Palestine, State of",Ramallah (de facto),
BLM,eng,North America,Saint Barthélemy,Gustavia,
SLB,eng,Oceania,Solomon Islands,Honiara,
TCA,eng,North America,Turks and Caicos Islands,Cockburn Town,
THA,eng,Asia,Thailand,Bangkok,
TJK,eng,Asia,Tajikistan,Dushanbe,
TZA,eng,Africa,"Tanzania, United Republic of",Dodoma,
TUN,eng,Africa,Tunisia,Tunis,
CZE,eng,Europe,Czechia,Prague,
TCD,eng,Africa,Chad,N'Djamena,
