country_code_alpha3,country_code_alpha2,country_code_numeric,world_region_type,world_region_code,remarks
GBR,GB,826,world_region,Europe,
GRD,GD,308,world_region,North America,
HRV,HR,191,world_region,Europe,
CYM,KY,136,world_region,North America,
KEN,KE,404,world_region,Africa,
CIV,CI,384,world_region,Africa,
CCK,CC,166,world_region,Oceania,
CRI,CR,188,world_region,North America,
COM,KM,174,world_region,Africa,
AFG,AF,4,world_region,Asia,
GUY,GY,328,world_region,South America,
JPN,JP,392,world_region,Asia,
ISL,IS,352,world_region,Europe,
IRL,IE,372,world_region,Europe,
AZE,AZ,31,world_region,Asia,
USA,US,840,world_region,North America,
ARE,AE,784,world_region,Asia,
DZA,DZ,12,world_region,Africa,
ARG,AR,32,world_region,South America,
ABW,AW,533,world_region,South America,
ALB,AL,8,world_region,Europe,
GNB,GW,624,world_region,Africa,
GIN,GN,324,world_region,Africa,
CYP,CY,196,world_region,Asia,
CUB,CU,192,world_region,North America,
GRC,GR,300,world_region,Europe,
KIR,KI,296,world_region,Oceania,
KGZ,KG,417,world_region,Asia,
COL,CO,170,world_region,South America,
COD,CD,180,world_region,Africa,
COG,CG,178,world_region,Africa,
SAU,SA,682,world_region,Asia,
KAZ,KZ,398,world_region,Asia,
QAT,QA,634,world_region,Asia,
CAN,CA,124,world_region,North America,
GAB,GA,266,world_region,Africa,
CMR,CM,120,world_region,Africa,
GMB,GM,270,world_region,Africa,
KHM,KH,116,world_region,Asia,
MKD,MK,807,world_region,Europe,
KWT,KW,414,world_region,Asia,
ARM,AM,51,world_region,Asia,
AIA,AI,660,world_region,North America,
GTM,GT,320,world_region,North America,
GLP,GP,312,world_region,North America,
GUM,GU,316,world_region,Oceania,
COK,CK,184,world_region,Oceania,
GRL,GL,304,world_region,North America,
CXR,CX,162,world_region,Oceania,
YEM,YE,887,world_region,Asia,
AGO,AO,24,world_region,Africa,
ATG,AG,28,world_region,North America,
AND,AD,20,world_region,Europe,
ISR,IL,376,world_region,Asia,
ITA,IT,380,world_region,Europe,
IRQ,IQ,368,world_region,Asia,
IRN,IR,364,world_region,Asia,
IND,IN,356,world_region,Asia,
IDN,ID,360,world_region,Asia,
UGA,UG,800,world_region,Africa,
UKR,UA,804,world_region,Europe,
EGY,EG,818,world_region,Africa,
UZB,UZ,860,world_region,Asia,
URY,UY,858,world_region,South America,
ECU,EC,218,world_region,South America,
EST,EE,233,world_region,Europe,
SWZ,SZ,748,world_region,Africa,
ETH,ET,231,world_region,Africa,
ERI,ER,232,world_region,Africa,
SLV,SV,222,world_region,North America,
AUS,AU,36,world_region,Oceania,
AUT,AT,40,world_region,Europe,
OMN,OM,512,world_region,Asia,
CPV,CV,132,world_region,Africa,
NLD,NL,528,world_region,Europe,
BES,BQ,535,world_region,North America,
GHA,GH,288,world_region,Africa,
MAF,MF,663,world_region,North America,
SXM,SX,534,world_region,North America,
JEY,JE,832,world_region,Europe,
IMN,IM,833,world_region,Europe,
ALA,AX,248,world_region,Europe,
GGY,GG,831,world_region,Europe,
CUW,CW,531,world_region,North America,
PSE,PS,275,world_region,Asia,
BLM,BL,652,world_region,North America,
SLB,SB,90,world_region,Oceania,
TCA,TC,796,world_region,North America,
THA,TH,764,world_region,Asia,
TJK,TJ,762,world_region,Asia,
TZA,TZ,834,world_region,Africa,
TUN,TN,788,world_region,Africa,
CZE,CZ,203,world_region,Europe,
TCD,TD,148,world_region,Africa,
TWN,TW,158,world_region,Asia,
CHL,CL,152,world_region,South America,
TUV,TV,798,world_region,Oceania,
DNK,DK,208,world_region,Europe,
DEU,DE,276,world_region,Europe,
TGO,TG,768,world_region,Africa,
LCA,LC,662,world_region,North America,
SOM,SO,706,world_region,Africa,
TKL,TK,772,world_region,Oceania,
DOM,DO,214,world_region,North America,
DMA,DM,212,world_region,North America,
TTO,TT,780,world_region,North America,
TKM,TM,795,world_region,Asia,
TUR,TR,792,world_region,Asia,
TON,TO,776,world_region,Oceania,
NGA,NG,566,world_region,Africa,
NRU,NR,520,world_region,Oceania,
NAM,NA,516,world_region,Africa,
NIU,NU,570,world_region,Oceania,
NIC,NI,558,world_region,North America,
NER,NE,562,world_region,Africa,
NCL,NC,540,world_region,Oceania,
NZL,NZ,554,world_region,Oceania,
NPL,NP,524,world_region,Asia,
NFK,NF,574,world_region,Oceania,
NOR,NO,578,world_region,Europe,
BHR,BH,48,world_region,Asia,
HTI,HT,332,world_region,North America,
PAK,PK,586,world_region,Asia,
VAT,VA,336,world_region,Europe,
PHL,PH,608,world_region,Asia,
BGD,BD,50,world_region,Asia,
PCN,PN,612,world_region,Oceania,
FJI,FJ,242,world_region,Oceania,
FIN,FI,246,world_region,Europe,
BTN,BT,64,world_region,Asia,
BVT,BV,74,world_region,Africa,
PRI,PR,630,world_region,North America,
FRO,FO,234,world_region,Europe,
FLK,FK,238,world_region,South America,
BRA,BR,76,world_region,South America,
FRA,FR,250,world_region,Europe,
BGR,BG,100,world_region,Europe,
BFA,BF,854,world_region,Africa,
BRB,BB,52,world_region,North America,
HUN,HU,348,world_region,Europe,
BRN,BN,96,world_region,Asia,
BDI,BI,108,world_region,Africa,
HMD,HM,334,world_region,Oceania,
VNM,VN,704,world_region,Asia,
BEN,BJ,204,world_region,Africa,
VEN,VE,862,world_region,South America,
BLR,BY,112,world_region,Europe,
BLZ,BZ,84,world_region,North America,
PER,PE,604,world_region,South America,
GUF,GF,254,world_region,South America,
PYF,PF,258,world_region,Oceania,
ATF,TF,260,world_region,Africa,
VIR,VI,850,world_region,North America,
ASM,AS,16,world_region,Oceania,
UMI,UM,581,world_region,Oceania,
MNP,MP,580,world_region,Oceania,
PRK,KP,408,world_region,Asia,
BEL,BE,56,world_region,Europe,
WSM,WS,882,world_region,Oceania,
STP,ST,678,world_region,Africa,
ZMB,ZM,894,world_region,Africa,
SPM,PM,666,world_region,North America,
SMR,SM,674,world_region,Europe,
SLE,SL,694,world_region,Africa,
DJI,DJ,262,world_region,Africa,
GIB,GI,292,world_region,Europe,
JAM,JM,388,world_region,North America,
GEO,GE,268,world_region,Asia,
