selection_item_type,selection_item_code,language_code,selection_item_name,selection_item_short_name,remarks
organization_type,Customer,eng,Customer,Customer,
organization_type,Provider,eng,Service Provider,Provider,
organization_type,Partner,eng,Business Partner,Partner,
company_status,Under DD,eng,Initial Application Under DD,Under DD,
company_status,DD Completed,eng,Initial DD Completed ( Awaiting Login ),DD Completed,
company_status,Active,eng,Active,Active,
company_status,All Paused,eng,All Services Paused by Client,All Paused,
company_status,All Suspended,eng,All Services Suspended Due to Issue,All Suspended,Display in red
company_status,All Closed,eng,All Services Closed by Client,All Closed,
company_status,All Terminated,eng,All Services Terminated Due to Issue,All Terminated,Display in red
company_type,Public,eng,Public Company,Public,
company_type,Private,eng,Private Company,Private,
user_status,Under DD,eng,Initial Application Under DD,Under DD,
user_status,DD Completed,eng,Initial DD Completed ( Awaiting Login ),DD Completed,
user_status,Active,eng,Active,Active,
user_status,All Paused,eng,All Services Paused by Client,All Paused,
user_status,All Suspended,eng,All Services Suspended Due to Issue,All Suspended,Display in red
user_status,All Closed,eng,All Services Closed by Client,All Closed,
user_status,All Terminated,eng,All Services Terminated Due to Issue,All Terminated,Display in red
gender,Male,eng,Male,Male,
gender,Female,eng,Female,Female,
gender,Other,eng,Other,Other,
world_region,Asia,eng,Asia,Asia,
world_region,Europe,eng,Europe,Europe,
world_region,North America,eng,North America,North America,
world_region,South America,eng,South America,South America,
world_region,Africa,eng,Africa,Africa,
world_region,Oceania,eng,Oceania,Oceania,
service_status,Preparing,eng,Preparing,Preparing,
service_status,Active,eng,Active,Active,
service_status,Suspended,eng,Suspended,Suspended,
service_status,Terminated,eng,Terminated,Terminated,
service_plan_status,Preparing,eng,Preparing,Preparing,
service_plan_status,Active,eng,Active,Active,
service_plan_status,Suspended,eng,Suspended,Suspended,
service_plan_status,Terminated,eng,Terminated,Terminated,
service_usage_status,Under DD,eng,Application Under DD,Under DD,
service_usage_status,DD Completed,eng,DD Completed ( Awaiting Login ),DD Completed,
service_usage_status,Active,eng,Active,Active,
service_usage_status,Paused,eng,Paused by Client,Paused,
service_usage_status,Suspended,eng,Suspended Due to Issue,Suspended,Display in red
service_usage_status,Closed,eng,Closed by Client,Closed,
service_usage_status,Terminated,eng,Terminated Due to Issue,Terminated,Display in red
service_contract_status,Not Requested,eng,Signature Not Requested,Not Requested,
service_contract_status,In Progress,eng,Signature in Progress,In Progress,
service_contract_status,Completed,eng,Signature Completed,Completed,
payment_cycle,Monthly,eng,Monthly (Every 1 month),Monthly,
payment_cycle,Quarterly,eng,Quarterly (Every 3 months),Quarterly,
payment_cycle,Semi-Annually,eng,Semi-Annually (Every 6 months),Semi-Annually,
payment_cycle,Annually,eng,Annually (Every 12 months),Annually,
payment_method,Card,eng,Credit/Debit/Prepaid Card,Card,
payment_method,Bank Transfer,eng,Bank Transfer,Bank Transfer,
language_code,eng,eng,English,English,
language_code,jpn,eng,日本語,日本語,
language_code,ind,eng,Bahasa Indonesia,Bahasa Indonesia,
language_code,tha,eng,ภาษาไทย,ภาษาไทย,
language_code,cmn,eng,中文（简体）,中国語（簡体字）,
language_code,yue,eng,中国語（繁体字）,中国語（繁体字）,
language_code,spa,eng,Español,Español,
language_code,vie,eng,Tiếng Việt,Tiếng Việt,
dd_entity_type,target_company,eng,Target Entity,Target Entity,
dd_entity_type,related_company,eng,Related Company,Related Company,
dd_entity_type,related_individual,eng,Related Individual,Related Individual,
dd_relation_type,Ultimate Beneficial Owner,eng,Ultimate Beneficial Owner,Ultimate Beneficial Owner,
dd_relation_type,Executive,eng,Executive,Executive,
